Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
13169,,,,,,,,,,,,,,,,,-4.448426723480225,8.039729118347168,-0.8427590131759644,-0.09737660735845566,-0.2735058665275574,-0.3629007637500763,-6.75,24.450000762939453,26.100000381469727,209.81600952148438,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,11.989999771118164,56.27000045776367,,673
13700,907.5,3396.25,3080.0,16.839433670043945,,,,,,,,,,,,,-2.470816135406494,9.385271072387695,-2.188300371170044,-0.2782948911190033,0.07449576258659363,-0.28414812684059143,-10.649999618530273,24.75,22.950000762939453,209.4805450439453,,,,,,,,0.0,0.0,0.0,,,,,,,,11.989999771118164,56.220001220703125,,670
14232,,,,,2025,12,6,17,1,49,0.0,0.0,0.0,0.0,0.0,0,-4.644751071929932,9.30386734008789,-1.4077905416488647,-0.12983547151088715,0.001064225216396153,-0.08088111132383347,-5.699999809265137,25.200000762939453,26.100000381469727,209.6243133544922,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.050000190734863,56.150001525878906,,670
15582,902.5,3395.0,3060.0,17.307579040527344,,,,,,,,,,,,,-4.357447147369385,8.394071578979492,-1.5849615335464478,0.11706477403640747,0.13568870723247528,0.2586067318916321,-5.849999904632568,25.799999237060547,25.950000762939453,209.6243133544922,,,,,,,,0.0,0.0,0.0,,,,,,,,12.039999961853027,56.150001525878906,,673
16114,,,,,,,,,,,,,,,,,-4.089296340942383,8.777143478393555,-1.8962076902389526,0.0047890134155750275,0.0,0.09631238132715225,-6.75,25.649999618530273,22.799999237060547,209.95977783203125,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.069999694824219,56.18000030517578,,667
16645,695.0,3500.0,2430.0,17.307579040527344,,,,,,,,,,,,,-4.5394062995910645,8.403648376464844,-2.3989901542663574,-0.14260616898536682,-0.23146897554397583,-0.1920926421880722,-5.25,25.649999618530273,23.100000381469727,209.76808166503906,,,,,,,,0.0,0.0,0.0,,,,,,,,12.0600004196167,56.18000030517578,,672
17178,,,,,2025,12,6,17,1,52,0.0,0.0,0.0,0.0,0.0,0,-3.251325845718384,8.89685344696045,-2.164358377456665,-0.2985151410102844,-0.22029460966587067,-0.19422109425067902,-8.399999618530273,24.299999237060547,20.700000762939453,209.81600952148438,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.119999885559082,56.15999984741211,,667
18527,917.5,3386.25,3110.0,19.180118560791016,,,,,,,,,,,,,-5.262455463409424,8.130708694458008,-1.5322890281677246,0.28893712162971497,-0.056403931230306625,-0.11972533166408539,-5.550000190734863,26.549999237060547,22.950000762939453,209.91184997558594,,,,,,,,0.0,0.0,0.0,,,,,,,,12.09000015258789,56.13999938964844,,669
19059,,,,,,,,,,,,,,,,,-5.17626428604126,7.967903137207031,-2.2697031497955322,0.21284502744674683,-0.017027603462338448,0.02766985446214676,-4.949999809265137,24.899999618530273,21.0,210.0076904296875,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.100000381469727,56.08000183105469,,668
19590,903.75,3392.5,3070.0,18.71197509765625,,,,,,,,,,,,,-3.4955344200134277,9.509769439697266,-2.719813108444214,-0.1915605217218399,0.06278928369283676,0.09205547720193863,-7.949999809265137,24.149999618530273,18.75,209.91184997558594,,,,,,,,0.0,0.0,0.0,,,,,,,,12.119999885559082,56.040000915527344,,669
20123,,,,,2025,12,6,17,1,55,0.0,0.0,0.0,0.0,0.0,0,-4.553771495819092,7.915230751037598,-2.4660277366638184,0.33576303720474243,-0.04735802114009857,-0.39429542422294617,-3.5999999046325684,24.299999237060547,17.549999237060547,209.81600952148438,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.130000114440918,55.88999938964844,,670
21572,921.25,3388.75,3120.0,16.37129020690918,,,,,,,,,,,,,-4.505887508392334,8.274360656738281,-2.8107926845550537,-0.05427548289299011,0.1415419578552246,0.06598196178674698,-4.050000190734863,24.75,15.600000381469727,210.0076904296875,,,,,,,,0.0,0.0,0.0,,,,,,,,12.140000343322754,55.83000183105469,,672
22105,,,,,,,,,,,,,,,,,-4.367023944854736,8.949525833129883,-2.3271639347076416,0.03990844264626503,0.034055206924676895,-0.025541404262185097,-3.5999999046325684,24.299999237060547,15.300000190734863,209.6243133544922,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,12.149999618530273,55.77000045776367,,672
