Millis,INA260 Current (mA),INA260 Voltage (mV),INA260 Power (mW),PicoTemp Temp (C),MTK3339 Year,MTK3339 Month,MTK3339 Day,MTK3339 Hour,MTK3339 Minute,MTK3339 Second,MTK3339 Latitude,MTK3339 Longitude,MTK3339 Speed,MTK3339 Heading,MTK3339 Altitude,MTK3339 Satellites,ICM20948 AccX (g),ICM20948 AccY (g),ICM20948 AccZ (g),ICM20948 GyroX (deg/s),ICM20948 GyroY (deg/s),ICM20948 GyroZ (deg/s),ICM20948 MagX (uT),ICM20948 MagY (uT),ICM20948 MagZ (uT),ICM20948 Temp (C),PCF8523 Year,PCF8523 Month,PCF8523 Day,PCF8523 Hour,PCF8523 Minute,PCF8523 Second,TMP117 Temp (C),UV_Sensor_O UVA2 (nm),UV_Sensor_O UVB2 (nm),UV_Sensor_O UVC2 (nm),ENS160_O AQI,ENS160_O TVOC (ppb),ENS160_O eCO2 (ppm),BMP390_O Temp (C),BMP390_O Pressure (Pa),BMP390_O Altitude (m),TMP117_O Temp_O (C),SHTC3_O Temp (C),SHTC3_O Rel Hum (%),Ozone Conc (ppb),Analog_Temp_0 ADC_val
438424,1025.0,3236.25,3320.0,22.457059860229492,,,,,,,,,,,,,9.706093788146973,0.6416460275650024,-0.4118026793003082,0.7098382115364075,0.10535828769207001,0.10695462673902512,-39.29999923706055,0.15000000596046448,42.900001525878906,215.71051025390625,,,,,,,,0.0,0.0,0.0,,,,,,,,13.729999542236328,29.959999084472656,,675
438957,,,,,,,,,,,,,,,,,9.409213066101074,1.1061211824417114,-0.14844051003456116,0.514552891254425,0.24849657714366913,0.002128450432792306,-39.29999923706055,3.5999999046325684,39.29999923706055,215.6146697998047,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.6899995803833,29.959999084472656,,679
439488,755.0,3378.75,2550.0,23.393346786499023,,,,,,,,,,,,,9.557653427124023,-0.19153612852096558,1.7286136150360107,0.6417278051376343,0.07555998861789703,-0.1415419578552246,-39.599998474121094,6.449999809265137,33.900001525878906,215.71051025390625,,,,,,,,0.0,0.0,0.0,,,,,,,,13.65999984741211,29.950000762939453,,678
440020,,,,,2025,12,6,17,8,55,33.07558059692383,-111.9686050415039,2981.0,14151514.0,2242027.0,26,9.457097053527832,1.1204863786697388,-0.689530074596405,1.6878612041473389,0.13622082769870758,0.12930336594581604,-38.54999923706055,-19.5,6.0,215.75843811035156,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.470000267028809,29.889999389648438,,676
441470,976.25,3267.5,3190.0,21.052661895751953,,,,,,,,,,,,,9.600749015808105,-0.22505496442317963,-0.8236053586006165,1.3611440658569336,0.25062501430511475,-0.023412954062223434,-39.150001525878906,-35.849998474121094,19.649999618530273,215.71051025390625,,,,,,,,0.0,0.0,0.0,,,,,,,,13.5600004196167,29.8799991607666,,681
442003,,,,,,,,,,,,,,,,,9.739612579345703,-1.3407529592514038,0.07182604819536209,1.3717862367630005,0.21390925347805023,-0.12504646182060242,-40.349998474121094,-35.54999923706055,37.20000076293945,215.71051025390625,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.609999656677246,29.860000610351562,,679
442534,1027.5,3246.25,3340.0,21.52080535888672,,,,,,,,,,,,,9.825803756713867,-0.06224924325942993,-0.2968810200691223,1.136060357093811,0.18623939156532288,-0.23253318667411804,-42.75,-21.75,49.04999923706055,215.6146697998047,,,,,,,,0.0,0.0,0.0,,,,,,,,13.569999694824219,29.8700008392334,,677
443067,,,,,2025,12,6,17,8,58,33.07547378540039,-111.96857452392578,5727.0,15074030.0,2260852.0,26,9.68694019317627,0.7565677165985107,-1.1204863786697388,-0.003192675532773137,-0.004256900865584612,-0.1042940616607666,-38.54999923706055,1.649999976158142,42.45000076293945,215.71051025390625,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.630000114440918,29.90999984741211,,685
444416,1027.5,3245.0,3330.0,22.925203323364258,,,,,,,,,,,,,9.552865028381348,1.8195933103561401,-0.9433154463768005,-0.8354167938232422,0.0037247880827635527,-0.0691746324300766,-38.54999923706055,-0.8999999761581421,46.95000076293945,215.998046875,,,,,,,,0.0,0.0,0.0,,,,,,,,13.649999618530273,29.920000076293945,,675
444948,,,,,,,,,,,,,,,,,9.66299819946289,2.518700122833252,-0.19153612852096558,-1.5739890336990356,-0.05693604424595833,0.006385351065546274,-38.849998474121094,-14.550000190734863,53.70000076293945,215.4709014892578,2001,3,0,0,2,20,,0.0,0.0,0.0,,,,,,,,13.65999984741211,29.809999465942383,,681
